wv2_B1_M,wv2_B1_S,wv2_B2_M,wv2_B2_S,wv2_B3_M,wv2_B3_S,wv2_B4_M,wv2_B4_S,wv2_B5_M,wv2_B5_S,wv2_B6_M,wv2_B6_S,wv2_B7_M,wv2_B7_S,wv2_B8_M,wv2_B8_S,sno_B1_M,sno_B1_S,sno_B2_M,sno_B2_S,sno_B3_M,sno_B3_S,sno_B4_M,sno_B4_S,sno_B5_M,sno_B5_S,sno_B6_M,sno_B6_S,sno_B7_M,sno_B7_S,sno_B8_M,sno_B8_S,mos_B1_M,mos_B1_S,mos_B2_M,mos_B2_S,mos_B3_M,mos_B3_S,mos_B4_M,mos_B4_S,f1_slope_M,f1_slope_S,f1_dtm_MEA,f1_dtm_STD,f1_dsm_MEA,f1_dsm_STD,f1_chm_MEA,f1_chm_STD,f2_slope_M,f2_slope_S,f2_dtm_MEA,f2_dtm_STD,f2_dsm_MEA,f2_dsm_STD,f2_chm_MEA,f2_chm_STD,dtm_dif_ME,dtm_dif_ST,f1_int_M,f1_int_S,f2_int_M,f2_int_S,wv2_ndvi_M,wv2_ndvi_S,sno_ndvi_M,sno_ndvi_S,mos_ndvi_M,mos_ndvi_S,wv2_ndwi_M,wv2_ndwi_S,sno_ndwi_M,sno_ndwi_S,mos_ndwi_M,mos_ndwi_S,wv2_ci_g_M,wv2_ci_g_S,wv2_ci_r_M,wv2_ci_r_S,sno_ci_g_M,sno_ci_g_S,sno_ci_r_M,sno_ci_r_S,mos_ci_g_M,mos_ci_g_S,wv2_savi_M,wv2_savi_S,sno_savi_M,sno_savi_S,mos_savi_M,mos_savi_S,Class
317.6432161,1.321770439,375.5678392,8.659625652,461.4572864,13.50849108,346.7487437,7.273355099,213.6633166,4.855935709,489.8241206,23.31700312,469.3316583,30.46293658,463.160804,29.72764599,212.3921569,1.160264192,215.6176471,2.42957318,220.1813725,0.875284872,216.5637255,1.080512697,217.122549,1.224617336,208.9460784,1.376281689,204.5980392,1.616458268,196.8039216,3.032630437,229.6407374,1.554170126,233.2504496,1.610651867,232.9172662,1.436105748,225.8120504,1.117920782,1.307216522,0.738435135,199.3188114,0.011350826,199.3216952,0.011827868,0.002883836,0.004116265,1.123276808,0.495472798,199.097788,0.010409147,199.1034039,0.010256607,0.005615833,0.004114121,0.221023335,0.009519748,160.1730769,5.052498064,140.75,4.539887325,0.373263455,0.024687663,-0.029705943,0.003178435,-0.01548516,0.002458611,-0.007599228,0.019761014,0.036696874,0.003547942,0.016197045,0.002719435,0.016103305,0.0396098,-0.042626517,0.01817539,-0.070773138,0.006610516,-0.020812253,0.003568146,-0.031863321,0.005403048,0.559485808,0.037021822,-0.044506133,0.004761875,-0.023202455,0.003683843,26
325.1641791,0.986430546,380.6766169,2.205804306,467.3383085,10.28329927,372.2985075,15.53780329,242.7512438,8.914062396,566.8955224,23.00365599,542.5024876,25.00012425,517.7114428,19.1091736,218.0149254,1.622226257,219.4378109,0.808759989,219.9402985,1.329503671,217.0895522,0.699637645,215.199005,1.060460336,206.0149254,0.938282606,196.0348259,0.649363327,183.9402985,1.362766396,186.6798561,35.99450434,182.2733813,43.30676186,177.2266187,50.34521914,193.2117806,27.02782382,2.421756177,1.340901809,200.4849105,0.042105142,200.5032763,0.114699353,0.018365813,0.119750933,2.165336484,0.769025478,200.1979982,0.030009035,200.2389377,0.18992414,0.040939483,0.191978231,0.286912301,0.020553255,160.56,10.6848678,133.62,20.16223202,0.381431173,0.017541996,-0.046598038,0.0024633,0.059945614,0.090742852,-0.073973476,0.026173878,0.057461935,0.002036782,-0.038966574,0.062972637,0.16147098,0.060369596,-0.043189143,0.011239448,-0.108671955,0.003647238,-0.048427132,0.004739166,0.091118383,0.154434219,0.571782382,0.026301967,-0.069812181,0.003690577,0.089752896,0.135870727,21
318.7538462,2.740189602,364.6666667,9.522263611,435.2512821,12.45436535,321.0717949,17.12502965,205.1794872,11.05248967,468.2871795,12.78138028,465.2820513,12.62871924,474.4564103,11.38113137,223.5270936,1.32910019,227.6157635,0.842321319,231.4039409,1.284382981,227.9753695,1.163646484,227.6847291,0.578015375,217.2167488,1.101863746,213.0344828,0.88434279,206.3004926,2.272853235,206.3442697,34.98192335,207.8310112,39.04826435,209.3438202,39.10276853,209.3833708,23.7508792,1.883474216,0.706001218,201.7285781,0.031430858,201.7315206,0.032133688,0.002942541,0.004025019,2.104241831,0.852273718,201.4480275,0.037066617,201.4573506,0.036894331,0.00932312,0.011832092,0.280550576,0.010010596,160.5769231,5.936672708,149.9230769,6.378588444,0.388314339,0.01247701,-0.033244301,0.00146577,0.007868056,0.056945057,-0.033365237,0.005456014,0.041328155,0.002637359,-0.011437244,0.055338065,0.069098636,0.011487181,-0.006377796,0.00876499,-0.079363545,0.00486131,-0.0192442,0.003295111,0.030410275,0.130185343,0.582036537,0.018689774,-0.049809936,0.002196062,0.011767743,0.085267829,23
307.2686567,3.128661069,348.60199,10.89300273,428.2985075,13.09135326,301.6467662,21.28483921,185.920398,21.47504932,495.4129353,22.70454032,514.3830846,42.68253179,507.1691542,29.35934922,136.4134615,15.67862986,135.7451923,19.59364781,138.8701923,18.78285521,138.1394231,18.25262846,137.2740385,20.8941218,153.8125,15.3794455,155.3701923,11.60663255,157.1730769,8.014940745,111.7798742,12.53649011,98.00224618,13.48209336,76.15229111,13.71837412,156.8953279,11.63924279,3.020803514,1.896298213,201.8162711,0.027328806,203.5139676,3.724326448,1.697696466,3.725705476,2.510288734,1.44702013,201.6362277,0.030394501,203.4435726,3.817214498,1.807344877,3.806525576,0.180043441,0.034892003,133.4583333,30.94683501,160.1666667,41.12092601,0.466921911,0.074549201,0.065988734,0.039721061,0.350079354,0.080601909,-0.089597805,0.047001273,-0.059136744,0.033536949,-0.233918089,0.057070646,0.202802464,0.115751927,0.036965956,0.050454925,0.128426735,0.076304527,0.012739885,0.029039912,0.626870844,0.218947368,0.69988466,0.111757947,0.098801978,0.059463672,0.523974241,0.120584465,27
289.715,3.552995215,307.585,5.412280019,345.835,18.59913372,212.56,10.35356943,116.405,7.508060668,347.605,34.50302849,357.715,46.71213734,342.505,42.08930951,88.65,10.0676462,90.65,7.449664422,91.19,6.182548018,93.405,9.003942192,89.225,7.071377164,106.07,7.093313753,110.17,4.28615212,114.575,7.088326671,145.2386517,36.92850229,149.5474157,36.91008965,146.8485393,45.85809062,176.0103371,20.17655511,1.998974966,1.456851911,200.2787866,0.026112503,208.2386883,4.115703009,7.959901657,4.10820696,1.889520695,1.133305933,200.0370252,0.020178394,208.3639052,4.024613887,8.326879959,4.017314404,0.241761398,0.020458277,35.39215686,20.80637009,40.92156863,29.64154685,0.505652058,0.029321095,0.105986865,0.044647322,0.112252214,0.149973021,-0.012842542,0.044272657,-0.094866735,0.036963898,-0.093726294,0.097683415,0.029932835,0.087358629,0.02548286,0.043317473,0.213333711,0.091070101,0.041036402,0.041888147,0.2362463,0.277187441,0.757672999,0.04403381,0.158578537,0.066794101,0.168048058,0.224499332,33
298.15,3.821975929,328.06,7.935767134,375.01,15.99718413,246,16.98587649,141.07,11.26521638,380.52,26.24289618,391.37,19.92217609,376.56,32.77142658,67.91542289,8.555223649,70.3880597,8.899586704,70.71641791,5.427420624,66.68159204,4.757618604,65.09950249,5.853947917,91.27363184,7.330149778,101.3034826,9.067049184,107.5920398,12.48890996,137.9716472,25.89175708,141.639964,28.79024965,134.9986499,43.72448206,172.4459946,14.90707821,3.321764699,2.529700435,199.8932701,0.041741284,211.188364,4.648451612,11.2950939,4.65859408,2.752801218,1.708069604,199.6736485,0.03625273,211.3119677,4.875604535,11.63831918,4.880555758,0.219621573,0.021976744,69.68,32.94871166,61.4,32.57974831,0.470692309,0.018283813,0.216954567,0.042273381,0.142884436,0.177170613,-0.021141001,0.007233584,-0.176629862,0.058832224,-0.105517075,0.104234357,0.04330521,0.014885352,0.030258554,0.035210938,0.441790477,0.178664009,0.109392406,0.035237939,0.268282476,0.279033735,0.705372911,0.027375855,0.324455072,0.063238624,0.213916989,0.265250283,31
291.37,2.933104158,312.06,6.019667765,357.08,16.68453176,225.18,11.84683924,121.335,5.314393192,402.21,40.82347241,448.98,44.24386511,422.77,43.20586881,95.89054726,6.127010601,95.52238806,6.954775464,98.90547264,6.233916212,93.45273632,7.901067689,91.84079602,8.147552657,110.9701493,8.052014023,115.5771144,7.28422774,116.4577114,7.347755114,156.9119892,41.45959968,161.740458,42.66594158,158.0480467,52.7065563,188.1612034,15.7861655,3.526489869,2.115329011,199.2009847,0.040636661,204.8612634,3.547270375,5.660278776,3.537901744,3.333764433,1.456145865,198.9656975,0.047078052,205.3656913,3.257564954,6.399993821,3.262948646,0.235287187,0.032129164,88.5,34.49275286,82.42307692,30.01303957,0.572932259,0.019380668,0.115221038,0.033510616,0.114760295,0.163066829,-0.112167426,0.024618778,-0.077629392,0.032539924,-0.091723623,0.113278802,0.254446415,0.063817225,0.116904835,0.02064222,0.17103796,0.07690157,0.042293993,0.015999168,0.23995111,0.306165241,0.858642163,0.029104057,0.172411448,0.050135845,0.171811494,0.244132305,37
289.7939698,1.157350908,309.0854271,0.933862511,333.2663317,9.80177515,209.8844221,7.272285696,117.5628141,3.196232726,337.4371859,38.38557131,365.4673367,46.76765717,388.0251256,38.81348742,197.53,6.475268334,202.76,6.233169338,204.365,7.29669617,203.035,6.922699979,202.155,7.587553954,199.43,6.133115032,193.41,5.645520348,185.555,5.986399168,129.5487203,60.04011331,125.6124832,64.65369242,128.2096991,64.96408828,132.9748541,57.28270118,4.832050534,4.656664158,198.9251385,0.06927284,199.0266158,0.490271437,0.10147728,0.491301085,3.636432005,1.855733229,198.6748178,0.03391331,198.8392296,0.5604463,0.164411774,0.553197984,0.250320663,0.062175938,148.9230769,17.56290469,48.51923077,46.1891972,0.509408968,0.037510765,-0.021965429,0.007455041,0.030898054,0.106628128,-0.042183953,0.050496243,0.0274306,0.007092763,-0.046296257,0.088321232,0.09392502,0.110881034,0.081667275,0.033569925,-0.053303654,0.013449933,-0.030099396,0.008501675,0.117528774,0.22187302,0.763320923,0.056287908,-0.032906777,0.011169176,0.046223678,0.159529716,32
286.875,1.92597378,311.8,4.631414471,354.87,13.09859153,219.465,7.987413536,122.285,2.381968724,422.555,33.82494605,486.765,26.50376907,480.94,22.17580664,178.2791878,13.91264346,178.2284264,13.01633507,180.1979695,13.17035573,179.5837563,13.71609674,179.5329949,11.72767033,179.3807107,11.53860145,171.4111675,8.794811412,165.3756345,10.12565798,123.5033738,51.20304252,117.9230769,55.65618804,110.7791273,59.7555545,151.4444444,44.02900983,5.756404942,3.491543596,198.9522915,0.06977755,200.7493677,2.17300471,1.79707623,2.21848522,4.601046914,2.442474568,198.7648011,0.045130184,200.7271677,2.195668334,1.962366559,2.174033385,0.187490395,0.106981519,114.42,43.72600599,71.84,44.83987511,0.597885692,0.012145095,-0.02273474,0.010407203,0.186393924,0.165689799,-0.156306839,0.009441818,0.02432473,0.012468315,-0.149965608,0.114693993,0.370831739,0.026961745,0.15438237,0.031197814,-0.047205031,0.023757093,-0.043629332,0.01330699,0.394955611,0.314536121,0.896091879,0.018236389,-0.034054302,0.015589941,0.278927369,0.247996265,32
291.13,0.493051721,318.9,2.362202362,367.105,7.112944186,250.48,6.021594473,138.81,6.826704915,498.605,20.02745553,561.495,30.57368108,571.17,18.66095121,211.34,8.304480718,213.1,10.60424443,214.22,10.53715332,213.66,12.34238227,210.835,9.456097239,205.905,9.431117378,197.325,9.860495677,188.9,12.3757828,213.1266907,33.4539736,214.3160505,38.77778505,214.9783589,40.66891636,215.1582507,18.36263621,2.580576974,1.656799908,199.157594,0.027164694,199.1651065,0.027940627,0.007512512,0.006652754,3.646647056,2.410865835,198.9503551,0.035167781,198.9959291,0.200929613,0.045573959,0.202884545,0.207238846,0.038670554,163.6470588,11.55519326,121.372549,11.10725039,0.6029419,0.023520625,-0.033232878,0.005265165,0.011742534,0.089008651,-0.208599462,0.019900329,0.041065418,0.005341355,-0.011500444,0.075543292,0.528711526,0.061489319,0.1255707,0.024158278,-0.078840476,0.009873119,-0.041843482,0.006995308,0.038232571,0.196292279,0.903766921,0.03527364,-0.049787906,0.007886086,0.01756082,0.133256675,34
291.9402985,2.317233277,318.5870647,4.614883109,368.9552239,7.732658986,242.1741294,10.34117151,135.4825871,9.724101732,528.2338308,39.55888677,622,76.0072005,610.8507463,66.39687408,195.5125628,13.90956408,200.241206,14.67853561,204.5075377,15.04227522,202.6030151,17.05675395,203.160804,15.17682283,197.1959799,14.71528054,192.7487437,14.66466666,187.7035176,16.57804862,169.1168014,52.39253165,163.7322552,60.83359398,158.2735849,67.8546104,189.9865229,28.93908461,3.267895637,1.895217483,199.2846685,0.053192033,199.7178836,1.325297917,0.433215117,1.311035101,3.079081894,1.301224955,199.0108336,0.043909905,199.6755492,1.693566106,0.664715638,1.672712442,0.273834919,0.025477574,136.26,27.33042993,124.94,27.70516919,0.638113535,0.050391227,-0.026287799,0.011367386,0.135746471,0.176407465,-0.251258426,0.056093956,0.029635306,0.010779,-0.106180255,0.136569092,0.686838992,0.20969043,0.173588544,0.053994443,-0.057351203,0.02039174,-0.022553949,0.010175026,0.297922147,0.398080022,0.956537799,0.075587809,-0.039381823,0.017028499,0.203186103,0.264048063,34
294.2908163,4.66118551,324.3265306,7.624845947,370.244898,11.13604299,247.622449,9.522278181,142.5459184,9.022813132,494.3826531,17.6025133,560.7295918,30.78402948,569.744898,20.31050358,208.4179104,14.67134065,208.1442786,15.26169985,213.7014925,15.74171022,213.0199005,14.63790493,211.1741294,15.38638435,205.6766169,13.61261854,201.7910448,13.58870322,199.0945274,14.1985221,87.97117117,14.36220884,73.0027027,13.44179953,63.97837838,12.9193786,155.0608108,15.04756409,1.667267146,0.892064729,199.2623231,0.016886919,199.8192921,2.181105821,0.556968955,2.182818028,3.936991136,2.081377674,199.0242312,0.053588391,200.37373,2.626688672,1.349498844,2.637721153,0.23809192,0.04946218,142.1153846,10.81603839,121.2115385,44.03073076,0.593573695,0.037097699,-0.022532975,0.006653041,0.417475914,0.088340553,-0.203809136,0.037562055,0.028436546,0.004237727,-0.361915741,0.076716175,0.517231507,0.111964281,0.133801423,0.036855469,-0.055267503,0.00801731,-0.018961221,0.009349158,1.180181507,0.387395124,0.889728346,0.055623924,-0.033758708,0.009968432,0.624772283,0.132194978,34
287.15,1.97673974,305.785,3.984818064,339.78,15.78643722,199.51,9.990990942,107.55,4.161430043,441.785,60.34764929,551.565,86.1447954,511.4,56.14009263,166.4673367,8.812832606,167.0201005,9.674584535,169.6733668,9.63551034,168.6281407,9.798082679,166.8291457,8.825554193,168.6432161,8.394083925,160.7738693,6.899429778,154.080402,4.757809538,112.7672956,40.20295244,101.4609164,43.90293498,95.44609164,45.64149937,142.1244385,37.19110291,3.609315566,2.799906863,199.6484176,0.040075296,200.3844338,1.498038104,0.736016202,1.511609407,3.588111783,1.856696162,199.4004067,0.02909809,200.3955334,1.544708192,0.995126772,1.537856453,0.248010913,0.048646925,133.48,34.93149868,60.34,37.0527246,0.667654081,0.045626394,-0.01824208,0.010817665,0.217848624,0.129070916,-0.230411356,0.065288478,0.026583599,0.011052732,-0.185364309,0.103282484,0.61586019,0.201606427,0.245058483,0.046030524,-0.051559344,0.02146403,-0.046275256,0.01282214,0.494054534,0.311299356,1.000713375,0.068500174,-0.027321882,0.016201499,0.325981002,0.193156453,33
291.8643216,1.958535864,309.2663317,2.37965035,346.4170854,5.515798192,223.7537688,3.21032777,121.3668342,4.933844305,409.2964824,27.18626496,454.3417085,59.22967662,471.8442211,48.39474258,212.09,7.151356515,214.39,8.014231092,215.77,9.216675105,211.26,9.139059033,213.49,8.955439688,207.105,8.975186628,203.69,9.998194837,197.57,10.94509479,170.94287,52.11666273,167.5865947,58.48448541,165.8146649,61.87970148,181.1776878,41.8629644,3.38555909,2.290939101,200.1786549,0.024315314,200.2694234,0.4230117,0.090768509,0.424070884,2.544934129,1.596655384,199.9469033,0.02001399,200.1444967,0.505797819,0.197593384,0.504991834,0.231751556,0.030011358,149.16,19.31668709,78.42,38.44845381,0.574980533,0.03078169,-0.023660103,0.006248183,0.068059846,0.11931558,-0.130224097,0.056394227,0.028951558,0.006053173,-0.05765413,0.092335089,0.309160176,0.149986532,0.105400254,0.072010896,-0.056207154,0.011346938,-0.016711352,0.010059237,0.145118012,0.233015275,0.861717502,0.046215419,-0.035447264,0.009359284,0.101868894,0.178618133,33
294.3333333,0.953304456,320.681592,2.531023322,379.6318408,5.744457081,247.8606965,5.975114022,133.8557214,3.856129011,493.0049751,12.37052246,543.7462687,18.27839707,552.0597015,12.44116174,196.678392,9.407421716,200.9698492,9.045340591,202.8040201,10.25782133,200.8844221,11.59846241,202.1658291,10.54197822,202.3467337,8.308461322,198.8442211,9.229668911,194.5427136,8.898474528,143.0310252,49.78054745,136.2558453,56.37546529,131.5094424,61.81884143,162.9451439,39.79099684,4.088487807,3.053656033,200.3942729,0.037493919,200.5413872,0.360691489,0.147114279,0.374894229,3.775709603,2.375231737,200.1342937,0.032160683,200.5344196,0.588681916,0.400125935,0.582786845,0.259979248,0.046198073,143.5,31.38869223,73.02,42.88705632,0.604647579,0.015038163,-0.008140643,0.005505845,0.140667642,0.156147315,-0.177480548,0.01255659,0.009762918,0.008835226,-0.113454471,0.114157989,0.432119023,0.037048066,0.103118348,0.031888932,-0.019185812,0.017284414,-0.017469069,0.012995435,0.296127536,0.314928305,0.906302364,0.022552614,-0.012195989,0.008248832,0.210524072,0.233727554,33
292.1980198,2.273479481,313.6980198,4.777514997,368.5,15.82085664,242.7524752,11.51400864,128.1287129,6.775265683,483.7722772,42.68544427,554.460396,51.21321105,572.9653465,45.99304497,200.9545455,10.12412633,206.8434343,9.048730718,205.6919192,9.018557487,200.2929293,11.64608793,202.8535354,9.175822569,198.2020202,10.32549047,194.3737374,9.392760869,185.6313131,9.545765855,161.3361836,56.22760529,158.5765077,63.59239751,158.1660666,67.14639259,176.009901,42.24410324,3.224068087,2.370486057,200.6225559,0.03644598,200.6926848,0.310297674,0.070128855,0.330968157,4.627432803,3.445057798,200.3592282,0.048701214,200.4836836,0.355253554,0.124455385,0.335272911,0.263327705,0.055211307,156.8627451,18.81595027,102.254902,45.42817781,0.62348999,0.013216782,-0.021420232,0.00657518,0.088426205,0.147636016,-0.199665474,0.026829592,0.028396467,0.007771469,-0.081126695,0.121210373,0.50172469,0.082649696,0.145876535,0.021070241,-0.055113226,0.014759109,-0.01897003,0.016399927,0.220834348,0.338009647,0.934546494,0.019869306,-0.032089729,0.009850192,0.132322371,0.220972689,31
286.6368159,2.335628823,299.6567164,3.462171861,308.4079602,11.35158333,194.2835821,6.865022682,106.39801,7.045749293,300.0497512,15.43329451,336.2736318,18.91509574,356.8507463,13.78973632,207.5606061,6.784106771,207.6616162,6.169462218,202.6616162,5.505886787,200.0707071,7.39198655,197.9494949,4.885297955,192.5959596,6.303629213,182.0707071,4.762548603,173.479798,7.313823632,202.2953624,33.62333564,206.3975687,36.50673889,209.2714993,36.16342718,203.4173796,25.47050354,2.47764804,1.702333167,200.7785818,0.032655447,200.8255243,0.233814015,0.046942509,0.234306801,2.223478233,1.189184682,200.5832087,0.027109089,200.7425635,0.358392705,0.159354778,0.360428456,0.195373073,0.019243821,158.4081633,18.23085338,116.5510204,26.17995902,0.518860682,0.032481654,-0.041802977,0.008313485,-0.007880869,0.049623435,-0.042882773,0.028633486,0.0535028,0.011792962,0.00053958,0.049596785,0.091525659,0.064243256,0.120579051,0.008039347,-0.101335103,0.021098579,-0.054388576,0.011750629,0.004867206,0.120311645,0.777412163,0.048677414,-0.062621981,0.012453616,-0.011827092,0.074277416,36
290.804878,1.329212351,310.1073171,1.294715383,335.4341463,6.512412529,222.6341463,6.407907073,125.0146341,2.718460915,371.0634146,30.82635676,405.5804878,30.35914472,448.2487805,27.54351875,241.8512821,2.332256725,245.8051282,2.819888043,245.5179487,3.505809961,241.7538462,3.875091142,240.2717949,2.656964599,229.9333333,2.790214892,228.2666667,3.390887739,218.7435897,4.893312803,80.57059089,37.12924192,74.13261164,32.70833791,69.03969328,21.41115963,68.32792061,24.3637726,2.770080112,1.382025938,200.746382,0.027815626,200.7491328,0.027772349,0.002750808,0.004053803,2.516486446,1.679305918,200.5278849,0.023182406,200.5434885,0.012807317,0.015603559,0.021528773,0.218497095,0.02865319,154.0769231,5.837037426,3.480769231,3.072773644,0.527629235,0.018598545,-0.025647225,0.003243038,-0.013176077,0.075648259,-0.093343942,0.026915108,0.036415685,0.002120837,0.023962464,0.087800241,0.207899523,0.067097702,0.093785181,0.011974475,-0.070264278,0.003943887,-0.007249982,0.008368138,-0.030726284,0.188857311,0.790697546,0.027916516,-0.038429781,0.004859015,-0.019636977,0.112963304,21
290.885,1.559414954,309.315,1.501923766,336.83,11.21789196,219.155,7.531996747,122.865,5.289307611,370.07,42.55661053,413.635,42.38162072,444.885,26.63347095,232.6432161,6.15775376,234.6582915,4.711135008,235.5879397,4.189128701,232.2211055,6.352410755,231.1155779,4.230982701,222.7286432,4.73909578,218.7688442,4.06441033,213.3417085,4.925966384,54.76687669,17.69100778,48.50315031,11.52044865,53.92394239,7.16998652,78.18361836,36.57135538,2.542495707,2.322670252,200.7097758,0.026923389,200.719046,0.023093229,0.009270213,0.009190331,3.389923353,1.675240505,200.610252,0.038065243,200.6450119,0.134794513,0.034759982,0.122238563,0.099523803,0.058126246,148.9591837,8.407866054,35.48979592,38.4692416,0.540089339,0.022736521,-0.027445895,0.003598593,0.129594737,0.20676178,-0.099949925,0.034124243,0.037023929,0.00408161,-0.189907063,0.152196965,0.225349194,0.085777044,0.119890224,0.031890619,-0.071374331,0.007587778,-0.017677492,0.009679785,0.56649302,0.533218971,0.809376564,0.034134585,-0.041123121,0.005391892,0.19390359,0.309121553,30
289.28,1.393413076,314.24,2.963511431,356.395,7.553077187,232.355,5.962296118,129.97,5.331894598,427.015,28.40589331,473.935,29.4161652,501.05,26.72728007,218.377551,9.241670608,222.3265306,8.178213355,223.4081633,10.2900157,217.4132653,7.584061399,218.2295918,9.607253947,209.9642857,5.11836928,207.1785714,9.07922893,199.6938776,4.450196426,62.77503368,30.30718564,55.8688819,26.80064702,56.67220476,16.30519309,92.40682533,49.73163461,3.056248801,2.351040021,200.8962445,0.047766592,201.1232642,0.570528314,0.227019719,0.606241774,6.636692381,3.578696868,200.7105563,0.077032402,200.9866432,0.643284225,0.276086846,0.631423454,0.185688175,0.101166424,142.8979592,28.38600179,44.20408163,43.56509537,0.568699735,0.023513598,-0.025969079,0.006329105,0.167406019,0.224079623,-0.140569636,0.027103997,0.037635437,0.006573009,-0.204897759,0.157420916,0.329376224,0.071487537,0.110326535,0.016727019,-0.072463759,0.012157066,-0.013634565,0.024015004,0.618895233,0.540990578,0.852343105,0.0352683,-0.038907821,0.009482475,0.250598496,0.334898286,28
